HkeyDateTime,Status
20250526043126,Open
20250526043131,Open
20250526043133,Open
20250526043139,Open
20250526043140,Open
20250526043145,Open
20250526043146,Close
20250526043157,Open
20250526043210,Open
20250526043211,Open
20250526043212,Open
20250526043212,Close
20250526043213,MidTravel
20250526043214,Close
20250526043214,Close
20250526043215,Open
20250526043215,Open
20250526043215,Open
20250526043258,Open
20250526043551,Event
20250526044213,Normal
20250526044814,Event
20250526045021,Open
20250526045058,Close
20250526045123,Close
20250526045152,Close
20250526045401,Close
20250526045700,Close
20250526040027,Open
20250526040154,Open
120250526040535,Stopped
320250526040719,Alarm
320250526041019,Alarm
20250526041157,Open
320250526041649,Normal
20250526041924,Open
320250526042158,Alarm
320250526042458,Normal
20250526042604,Open
20250526042604,Open
20250526042604,Open
20250526042605,Open
20250526042606,Open
20250526042910,Close
20250526042911,Close
320250526042923,Alarm
20250526043033,Open
20250526043046,Open
20250526043059,Open
20250526043121,Close
20250526043126,Close
20250526043131,Close
20250526043132,Close
20250526043139,Close
20250526043140,Close
20250526043142,Close
20250526043146,Open
20250526043157,Close
20250526043210,Close
20250526043211,Close
20250526043212,Close
20250526043212,Open
20250526043213,Close
20250526043213,Open
20250526043214,Open
20250526043215,Close
20250526043215,Close
20250526043215,Close
20250526043258,Close
20250526043314,Close
320250526044144,Alarm
20250526044814,Stopped
20250526045021,Close
20250526045058,Open
20250526045123,Open
20250526045152,Open
20250526045401,Discrepancy
20250526045700,Open
20250526040027,Close
20250526040505,Normal
20250526040620,Open
20250526040947,Open
20250526041145,Close
220250526041646,Running
120250526041902,Stopped
20250526041924,Close
20250526042328,Event
20250526042603,Close
20250526042604,Close
20250526042604,Close
20250526042605,Close
20250526042606,MidTravel
20250526042830,Open
20250526042910,Open
320250526042915,Normal
20250526043033,Close
20250526043044,Close
20250526043047,Close
20250526043112,Close
20250526043125,Open
20250526043131,Open
20250526043131,Open
20250526043138,Open
20250526043139,Open
20250526043140,Open
20250526043145,Open
20250526043146,Open
20250526043210,Open
20250526043210,Open
20250526043211,Open
20250526043212,Open
20250526043212,Open
20250526043213,Close
20250526043214,Close
20250526043214,Open
20250526043215,Open
20250526043215,Open
20250526043257,Open
20250526043314,Open
320250526043952,Normal
320250526044457,Normal
20250526045020,Open
20250526045057,Close
20250526045059,Close
20250526045148,Close
320250526045157,Normal
120250526045558,Stopped
20250526040027,Open
120250526040204,Running
320250526040551,Alarm
320250526040741,Normal
20250526041106,Event
120250526041518,Running
20250526041728,Normal
20250526041924,Open
20250526042224,Close
320250526042502,Alarm
20250526042604,Open
20250526042604,Open
20250526042605,Open
20250526042605,Open
120250526042724,Running
20250526042910,Close
20250526042911,Close
20250526043010,Running
20250526043043,Open
20250526043046,Open
20250526043105,Open
20250526043125,Close
20250526043126,Close
20250526043131,Close
20250526043133,Close
20250526043139,Close
20250526043140,Close
20250526043145,Close
20250526043146,Open
20250526043158,Close
20250526043210,Close
20250526043211,Close
